cd_acao_rdz;cd_acao;nm_empresa;setor_economico;subsetor;segmento;cnpj
MLAS;MLAS3;MULTILASER;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;59.717.553/0001-02
OPCT;OPCT3;OCEANPACT;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EQUIPAMENTOS E SERVIÇOS;09.114.805/0001-30
ONCO;ONCO3;ONCOCLINICAS;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;12.104.241/0004-02
ORVR;ORVR3;ORIZON;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;11.421.994/0001-36
RECV;RECV3;PETRORECSA;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;03.342.704/0001-30
RAIZ;RAIZ4;RAIZEN;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;33.453.598/0001-23
RBNS;RBNS11;RODOBENS;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;59.981.829/0001-65
TRAD;TRAD3;TC;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;26.345.998/0001-50
TEGA;TEGA3;TEGRA INCORP;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;30.213.493/0001-09
LAND;LAND3;TERRASANTAPA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;40.337.136/0001-06
TTEN;TTEN3;3TENTOS;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;94.813.102/0001-70
FIQE;FIQE3;UNIFIQUE;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;02.255.187/0001-08
WEST;WEST3;WESTWING;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;14.776.142/0001-50
